sweep_id,combo_id,n_combos,train_test,hypothesis,ticker,start,end,strategy,stop,param_fast_window,param_slow_window,param_period,param_multiplier,risk_pct,brokerage,slippage_bps,total_return,annualized_return,max_drawdown,sharpe,sortino,num_trades,win_rate,avg_payoff,expectancy,avg_holding_days,benchmark_total_return,benchmark_annualized_return,benchmark_max_drawdown,benchmark_sharpe,benchmark_sortino
mac_plateau-2026-08-17T14:03:40,c000,16,full,"O 9/21 usado em todos os batches do MAC foi escolhido por convenção, não por teste. Se o resultado dele for um pico isolado numa vizinhança de fracasso, o histórico inteiro do MAC neste projeto está contaminado por sorte de tuning. Se for um platô, a refutação da família fica mais forte: não é questão de calibrar melhor.
",PETR4.SA,2018-01-01,2024-01-01,MovingAverageCrossover,AtrStop,5,21,14,2.0,0.01,0.0,5,0.20046850159312712,0.031469815462499495,0.055684783502163784,0.718146029288692,0.5370746932422685,44,0.5,1.96905809590829,43.5805547423183,28.181818181818183,5.1867600497107365,0.36212993108676206,0.6334388835850931,0.9050114594365248,0.8592563281880093
mac_plateau-2026-08-17T14:03:40,c000,16,full,"O 9/21 usado em todos os batches do MAC foi escolhido por convenção, não por teste. Se o resultado dele for um pico isolado numa vizinhança de fracasso, o histórico inteiro do MAC neste projeto está contaminado por sorte de tuning. Se for um platô, a refutação da família fica mais forte: não é questão de calibrar melhor.
",VALE3.SA,2018-01-01,2024-01-01,MovingAverageCrossover,AtrStop,5,21,14,2.0,0.01,0.0,5,0.14489121074096412,0.023211469354091463,0.04965989131461119,0.5620374039267099,0.43252401856534656,41,0.4634146341463415,1.9894246569786131,32.777880076622324,29.536585365853657,1.8775846747896958,0.1963086966732437,0.4367130336290461,0.6556790786761694,0.6740443765577883
mac_plateau-2026-08-17T14:03:40,c000,16,full,"O 9/21 usado em todos os batches do MAC foi escolhido por convenção, não por teste. Se o resultado dele for um pico isolado numa vizinhança de fracasso, o histórico inteiro do MAC neste projeto está contaminado por sorte de tuning. Se for um platô, a refutação da família fica mais forte: não é questão de calibrar melhor.
",ITUB4.SA,2018-01-01,2024-01-01,MovingAverageCrossover,AtrStop,5,21,14,2.0,0.01,0.0,5,0.11697716431174743,0.018937356314272735,0.07477284022414409,0.5135668507857485,0.4024783497557336,46,0.43478260869565216,1.7788806939211117,13.796084266716075,23.5,0.5745376042707473,0.08002487612175924,0.44319126615785376,0.40050230087181465,0.4019545660938667
mac_plateau-2026-08-17T14:03:40,c000,16,full,"O 9/21 usado em todos os batches do MAC foi escolhido por convenção, não por teste. Se o resultado dele for um pico isolado numa vizinhança de fracasso, o histórico inteiro do MAC neste projeto está contaminado por sorte de tuning. Se for um platô, a refutação da família fica mais forte: não é questão de calibrar melhor.
",BBDC4.SA,2018-01-01,2024-01-01,MovingAverageCrossover,AtrStop,5,21,14,2.0,0.01,0.0,5,0.12440838458048864,0.020083789036174693,0.05031964035931602,0.5706720968312479,0.41597152047450797,38,0.42105263157894735,2.155479701947494,22.57033543520467,24.973684210526315,0.1521753822292864,0.024312548978465465,0.5273596484434712,0.2487246847890184,0.24883284847324946
mac_plateau-2026-08-17T14:03:40,c000,16,full,"O 9/21 usado em todos os batches do MAC foi escolhido por convenção, não por teste. Se o resultado dele for um pico isolado numa vizinhança de fracasso, o histórico inteiro do MAC neste projeto está contaminado por sorte de tuning. Se for um platô, a refutação da família fica mais forte: não é questão de calibrar melhor.
",WEGE3.SA,2018-01-01,2024-01-01,MovingAverageCrossover,AtrStop,5,21,14,2.0,0.01,0.0,5,0.26745168707513,0.04101118208582921,0.06084416368995538,0.861224984165661,0.6915876899425516,49,0.3673469387755102,3.8117036731123664,49.29213872541478,23.285714285714285,3.1805712480912964,0.2745323420322794,0.49505722628962756,0.8468096447271207,0.8793642753696655
mac_plateau-2026-08-17T14:03:40,c000,16,full,"O 9/21 usado em todos os batches do MAC foi escolhido por convenção, não por teste. Se o resultado dele for um pico isolado numa vizinhança de fracasso, o histórico inteiro do MAC neste projeto está contaminado por sorte de tuning. Se for um platô, a refutação da família fica mais forte: não é questão de calibrar melhor.
",ABEV3.SA,2018-01-01,2024-01-01,MovingAverageCrossover,AtrStop,5,21,14,2.0,0.01,0.0,5,-0.05707829421609856,-0.00991722002024542,0.09744062338793588,-0.29149257877270973,-0.20933293900606023,43,0.3023255813953488,1.4662166643008188,-16.860612873030302,21.953488372093023,-0.20343780560544167,-0.03783720124404766,0.519311450588265,0.018256714487198213,0.018440625179170438
mac_plateau-2026-08-17T14:03:40,c000,16,full,"O 9/21 usado em todos os batches do MAC foi escolhido por convenção, não por teste. Se o resultado dele for um pico isolado numa vizinhança de fracasso, o histórico inteiro do MAC neste projeto está contaminado por sorte de tuning. Se for um platô, a refutação da família fica mais forte: não é questão de calibrar melhor.
",B3SA3.SA,2018-01-01,2024-01-01,MovingAverageCrossover,AtrStop,5,21,14,2.0,0.01,0.0,5,0.061330369142265306,0.010145224330931235,0.08200981325867343,0.2847706608547886,0.2181751769386959,46,0.34782608695652173,2.155983467404159,7.092144565869209,22.47826086956522,1.3589340334991258,0.15666122822911133,0.5080759961997996,0.5599164888154703,0.5759033069907431
mac_plateau-2026-08-17T14:03:40,c000,16,full,"O 9/21 usado em todos os batches do MAC foi escolhido por convenção, não por teste. Se o resultado dele for um pico isolado numa vizinhança de fracasso, o histórico inteiro do MAC neste projeto está contaminado por sorte de tuning. Se for um platô, a refutação da família fica mais forte: não é questão de calibrar melhor.
",RENT3.SA,2018-01-01,2024-01-01,MovingAverageCrossover,AtrStop,5,21,14,2.0,0.01,0.0,5,0.185883186464614,0.029333797209495138,0.06876897288870633,0.7727978183873583,0.6756569843919334,36,0.4166666666666667,2.9202368899624647,43.46197919770731,35.30555555555556,2.2054474162671514,0.21840031058590514,0.5788069676078467,0.6633285292131081,0.7007423316785011
mac_plateau-2026-08-17T14:03:40,c000,16,full,"O 9/21 usado em todos os batches do MAC foi escolhido por convenção, não por teste. Se o resultado dele for um pico isolado numa vizinhança de fracasso, o histórico inteiro do MAC neste projeto está contaminado por sorte de tuning. Se for um platô, a refutação da família fica mais forte: não é questão de calibrar melhor.
",SUZB3.SA,2018-01-01,2024-01-01,MovingAverageCrossover,AtrStop,5,21,14,2.0,0.01,0.0,5,0.17562431061190176,0.027818278756466253,0.10115233195517973,0.5993616527276958,0.48771957777547187,42,0.35714285714285715,3.181833924711736,38.33561308822729,26.452380952380953,2.262852274052244,0.2220733487617721,0.5425050449625275,0.6954334740889121,0.7500215331137553
mac_plateau-2026-08-17T14:03:40,c000,16,full,"O 9/21 usado em todos os batches do MAC foi escolhido por convenção, não por teste. Se o resultado dele for um pico isolado numa vizinhança de fracasso, o histórico inteiro do MAC neste projeto está contaminado por sorte de tuning. Se for um platô, a refutação da família fica mais forte: não é questão de calibrar melhor.
",RADL3.SA,2018-01-01,2024-01-01,MovingAverageCrossover,AtrStop,5,21,14,2.0,0.01,0.0,5,-0.0041018891203377095,-0.0006967974238972774,0.1036855507470176,0.0020251280259745777,0.0015815208132126302,50,0.26,2.563434109052951,-4.5830554252169815,23.04,0.7846442028290987,0.10321161473952856,0.37378187117629175,0.4676448099535855,0.47814344541377185
